id,account_name,date,category,notes,items,created_at,account
202,Petty Cash,2026-06-19,Equipment,,"[{""date"": ""2026-06-19"", ""description"": ""1x Tasyo Items"", ""amount"": ""500.00""}]",2026-06-19T23:52:19.611628+08:00,1
201,Petty Cash,2026-06-19,Supplies,,"[{""date"": ""2026-06-19"", ""description"": ""Lipton Green Tea"", ""amount"": ""101.00""}, {""date"": ""2026-06-19"", ""description"": ""Nestea Lemon 20g"", ""amount"": ""96.25""}]",2026-06-19T18:35:33.214927+08:00,1
200,Petty Cash,2026-06-19,Supplies,,"[{""date"": ""2026-06-19"", ""description"": ""Ice"", ""amount"": ""50.00""}]",2026-06-19T18:30:29.528289+08:00,1
199,Petty Cash,2026-06-19,Equipment,,"[{""date"": ""2026-06-19"", ""description"": ""3 pcs Food Tong"", ""amount"": ""135.00""}, {""date"": ""2026-06-19"", ""description"": ""Charcoal"", ""amount"": ""400.00""}, {""date"": ""2026-06-19"", ""description"": ""Lemons"", ""amount"": ""300.00""}]",2026-06-19T18:27:38.914004+08:00,1
198,Petty Cash,2026-06-19,Other,,"[{""date"": ""2026-06-19"", ""description"": ""Basura"", ""amount"": ""50.00""}]",2026-06-19T13:14:01.601038+08:00,1
197,Petty Cash,2026-06-19,Supplies,,"[{""date"": ""2026-06-19"", ""description"": ""XXL Garbage Bag"", ""amount"": ""70.00""}, {""date"": ""2026-06-19"", ""description"": ""Tiny Wow Plastic"", ""amount"": ""30.00""}, {""date"": ""2026-06-19"", ""description"": ""Spam"", ""amount"": ""70.00""}, {""date"": ""2026-06-19"", ""description"": ""Spoon"", ""amount"": ""25.00""}, {""date"": ""2026-06-19"", ""description"": ""Medium Plastic"", ""amount"": ""60.00""}]",2026-06-19T13:09:36.378209+08:00,1
196,Petty Cash,2026-06-19,Other,,"[{""date"": ""2026-06-19"", ""description"": ""Cash Advance Brando"", ""amount"": ""50.00""}]",2026-06-19T13:03:28.482597+08:00,1
195,Petty Cash,2026-06-18,Other,Lhei Mark Lanuang,"[{""date"": ""2026-06-18"", ""description"": ""Cash Advance"", ""amount"": ""200.00""}]",2026-06-18T17:06:55.287187+08:00,1
194,Petty Cash,2026-06-18,Supplies,,"[{""date"": ""2026-06-18"", ""description"": ""1 PC Vermicelli"", ""amount"": ""26.00""}, {""date"": ""2026-06-18"", ""description"": ""3 PC Knorr Beef Cubes 120g @ 69"", ""amount"": ""207.00""}]",2026-06-18T15:11:10.923824+08:00,1
193,Petty Cash,2026-06-18,Food,,"[{""date"": ""2026-06-18"", ""description"": ""Isda"", ""amount"": ""400.00""}]",2026-06-18T15:08:37.397504+08:00,1
192,Savings,2026-06-18,Equipment,,"[{""date"": ""2026-06-18"", ""description"": ""Parelya"", ""amount"": ""1600.00""}]",2026-06-18T15:07:51.456753+08:00,2
191,Petty Cash,2026-06-18,Food,,"[{""date"": ""2026-06-18"", ""description"": ""kalabasa"", ""amount"": ""20.00""}, {""date"": ""2026-06-18"", ""description"": ""Sitaw"", ""amount"": ""20.00""}, {""date"": ""2026-06-18"", ""description"": ""Monggo"", ""amount"": ""30.00""}]",2026-06-18T12:38:05.750123+08:00,1
190,Petty Cash,2026-06-17,Supplies,,"[{""date"": ""2026-06-17"", ""description"": ""Thai Elephant Rice"", ""amount"": ""1160.00""}]",2026-06-17T18:09:53.060165+08:00,1
189,Today Sales,2026-06-17,Supplies,,"[{""date"": ""2026-06-17"", ""description"": ""uling 1 sack"", ""amount"": ""400.00""}]",2026-06-17T17:45:13.459010+08:00,4
188,Savings,2026-06-16,Supplies,,"[{""date"": ""2026-06-16"", ""description"": ""lemon"", ""amount"": ""200.00""}, {""date"": ""2026-06-16"", ""description"": ""Salt"", ""amount"": ""45.00""}, {""date"": ""2026-06-16"", ""description"": ""Dishwahing liquid"", ""amount"": ""150.00""}]",2026-06-16T15:31:14.494347+08:00,2
187,Savings,2026-06-16,Transport,,"[{""date"": ""2026-06-16"", ""description"": ""Stargazer gas"", ""amount"": ""1000.00""}]",2026-06-16T13:59:53.376787+08:00,2
186,Today Sales,2026-06-15,Supplies,,"[{""date"": ""2026-06-15"", ""description"": ""ICE"", ""amount"": ""50.00""}]",2026-06-15T20:33:41.354215+08:00,4
185,Petty Cash,2026-06-15,Supplies,,"[{""date"": ""2026-06-15"", ""description"": ""uling"", ""amount"": ""400.00""}]",2026-06-15T10:45:41.084378+08:00,1
184,Today Sales,2026-06-14,Supplies,,"[{""date"": ""2026-06-14"", ""description"": ""3x Nestea"", ""amount"": ""72.00""}]",2026-06-14T20:09:48.970563+08:00,4
183,Today Sales,2026-06-13,Supplies,,"[{""date"": ""2026-06-13"", ""description"": ""Ice"", ""amount"": ""50.00""}]",2026-06-13T22:43:21.546113+08:00,4
182,Today Sales,2026-06-13,Supplies,,"[{""date"": ""2026-06-13"", ""description"": ""3x Nestea"", ""amount"": ""72.00""}]",2026-06-13T21:04:33.066783+08:00,4
181,Today Sales,2026-06-13,Supplies,,"[{""date"": ""2026-06-13"", ""description"": ""bbq sticks"", ""amount"": ""150.00""}]",2026-06-13T16:32:51.091682+08:00,4
180,Today Sales,2026-06-13,Other,,"[{""date"": ""2026-06-13"", ""description"": ""Mommy"", ""amount"": ""130.00""}]",2026-06-13T14:02:49.807672+08:00,4
179,Petty Cash,2026-06-12,Equipment,Balance 990,"[{""date"": ""2026-06-12"", ""description"": ""Gasul"", ""amount"": ""1158.00""}]",2026-06-12T18:02:55.926093+08:00,1
178,Petty Cash,2026-06-12,Supplies,342 total.,"[{""date"": ""2026-06-12"", ""description"": ""Aji Ginisa Mix 250g"", ""amount"": ""83.75""}, {""date"": ""2026-06-12"", ""description"": ""Pamintang Durog"", ""amount"": ""120.00""}, {""date"": ""2026-06-12"", ""description"": ""Knorr Beef Cubes"", ""amount"": ""138.00""}]",2026-06-12T17:28:20.016394+08:00,1
176,Petty Cash,2026-06-12,Other,,"[{""date"": ""2026-06-12"", ""description"": ""Laundry Brush"", ""amount"": ""38.00""}]",2026-06-12T17:24:12.296004+08:00,1
175,Petty Cash,2026-06-12,Transport,,"[{""date"": ""2026-06-12"", ""description"": ""Gasolina"", ""amount"": ""50.00""}]",2026-06-12T15:05:47.678632+08:00,1
174,Petty Cash,2026-06-12,Supplies,,"[{""date"": ""2026-06-12"", ""description"": ""Asin"", ""amount"": ""45.00""}, {""date"": ""2026-06-12"", ""description"": ""Sabon"", ""amount"": ""150.00""}, {""date"": ""2026-06-12"", ""description"": ""Lemon"", ""amount"": ""100.00""}]",2026-06-12T15:05:21.531469+08:00,1
173,Petty Cash,2026-06-12,Supplies,total of 970.00,"[{""date"": ""2026-06-12"", ""description"": ""Aji RC 1kg"", ""amount"": ""232.95""}, {""date"": ""2026-06-12"", ""description"": ""1kg White Sugar"", ""amount"": ""137.90""}, {""date"": ""2026-06-12"", ""description"": ""1kg DD Sugar"", ""amount"": ""305.25""}, {""date"": ""2026-06-12"", ""description"": ""Knorr Sinigang MIx"", ""amount"": ""293.50""}]",2026-06-12T15:02:23.504267+08:00,1
172,Today Sales,2026-06-12,Other,,"[{""date"": ""2026-06-12"", ""description"": ""Basura"", ""amount"": ""50.00""}]",2026-06-12T12:55:23.345565+08:00,4
171,Today Sales,2026-06-11,Equipment,,"[{""date"": ""2026-06-11"", ""description"": ""Bulb Socket/ Outlet Socket with Chain"", ""amount"": ""48.00""}]",2026-06-11T18:17:00.584633+08:00,4
170,Today Sales,2026-06-11,Supplies,,"[{""date"": ""2026-06-11"", ""description"": ""uling"", ""amount"": ""430.00""}]",2026-06-11T17:03:49.104090+08:00,4
169,Petty Cash,2026-06-11,Supplies,,"[{""date"": ""2026-06-11"", ""description"": ""Brown Sugar"", ""amount"": ""358.75""}]",2026-06-11T10:15:17.418762+08:00,1
168,Today Sales,2026-06-10,Salary,,"[{""date"": ""2026-06-10"", ""description"": ""Mami"", ""amount"": ""130.00""}]",2026-06-10T22:28:46.043208+08:00,4
166,Savings,2026-06-09,Utilities,,"[{""date"": ""2026-06-09"", ""description"": ""LPG balance"", ""amount"": ""840.00""}]",2026-06-10T00:06:08.587615+08:00,2
165,Today Sales,2026-06-09,Supplies,,"[{""date"": ""2026-06-09"", ""description"": ""ice"", ""amount"": ""50.00""}, {""date"": ""2026-06-09"", ""description"": ""6 containers water"", ""amount"": ""150.00""}, {""date"": ""2026-06-09"", ""description"": ""2kgs tube ice"", ""amount"": ""64.00""}]",2026-06-09T19:35:56.926888+08:00,4
164,Savings,2026-06-09,Transport,,"[{""date"": ""2026-06-09"", ""description"": ""process bir certificate"", ""amount"": ""1000.00""}, {""date"": ""2026-06-09"", ""description"": ""10pcs booklet of manual OR"", ""amount"": ""2000.00""}, {""date"": ""2026-06-09"", ""description"": ""Uling 1 sack"", ""amount"": ""400.00""}, {""date"": ""2026-06-09"", ""description"": ""photocopy"", ""amount"": ""44.00""}]",2026-06-09T18:19:00.162828+08:00,2
163,Savings,2026-06-09,Other,,"[{""date"": ""2026-06-09"", ""description"": ""3 pcs certificate holder"", ""amount"": ""144.00""}, {""date"": ""2026-06-09"", ""description"": ""pen 3 pcs"", ""amount"": ""27.00""}]",2026-06-09T18:15:17.023823+08:00,2
162,Petty Cash,2026-06-09,Supplies,,"[{""date"": ""2026-06-09"", ""description"": ""Bigas 1 sack 25kg"", ""amount"": ""1250.00""}]",2026-06-09T13:19:38.723617+08:00,1
161,Petty Cash,2026-06-09,Supplies,,"[{""date"": ""2026-06-09"", ""description"": ""spoon and fork"", ""amount"": ""50.00""}, {""date"": ""2026-06-09"", ""description"": ""egg"", ""amount"": ""120.00""}]",2026-06-09T13:08:05.401431+08:00,1
159,Today Sales,2026-06-08,Salary,,"[{""date"": ""2026-06-08"", ""description"": ""Lhei"", ""amount"": ""2750.00""}]",2026-06-08T22:20:15.857042+08:00,4
157,Today Sales,2026-06-08,Salary,,"[{""date"": ""2026-06-08"", ""description"": ""Ruth (salary)"", ""amount"": ""100.00""}]",2026-06-08T22:00:22.920052+08:00,4
156,Savings,2026-06-08,Supplies,,"[{""date"": ""2026-06-08"", ""description"": ""1x Netbag Garlic"", ""amount"": ""450.00""}, {""date"": ""2026-06-08"", ""description"": ""1x No Details (sili, kalamansi, luya)"", ""amount"": ""850.00""}]",2026-06-08T21:56:42.858871+08:00,2
155,Savings,2026-06-08,,,"[{""date"": ""2026-06-08"", ""description"": ""1x box Liempo Seara 17.94kl"", ""amount"": ""4216.00""}, {""date"": ""2026-06-08"", ""description"": ""1x Liempo cut charge"", ""amount"": ""179.00""}]",2026-06-08T21:39:21.072274+08:00,2
154,Savings,2026-06-08,Supplies,,"[{""date"": ""2026-06-08"", ""description"": ""5x pack Mismo Soda"", ""amount"": ""990.00""}]",2026-06-08T21:34:42.098216+08:00,2
153,Today Sales,2026-06-08,Supplies,,"[{""date"": ""2026-06-08"", ""description"": ""2x Mismo Soda"", ""amount"": ""50.00""}, {""date"": ""2026-06-08"", ""description"": ""Ruth salary"", ""amount"": ""100.00""}]",2026-06-08T21:32:23.047622+08:00,4
152,Petty Cash,2026-06-08,Supplies,,"[{""date"": ""2026-06-08"", ""description"": ""1x Maxglow Galon"", ""amount"": ""160.00""}]",2026-06-08T14:23:23.883794+08:00,1
151,Petty Cash,2026-06-08,Supplies,,"[{""date"": ""2026-06-08"", ""description"": ""20x Tissue"", ""amount"": ""200.00""}, {""date"": ""2026-06-08"", ""description"": ""5x Toothpick"", ""amount"": ""90.00""}]",2026-06-08T14:22:47.109953+08:00,1
148,Petty Cash,2026-06-08,Supplies,,"[{""date"": ""2026-06-08"", ""description"": ""Charcoal"", ""amount"": ""400.00""}]",2026-06-08T13:56:55.501553+08:00,1
147,Petty Cash,2026-06-08,Salary,,"[{""date"": ""2026-06-08"", ""description"": ""Ruth (hulog nia daw sa lechon)"", ""amount"": ""1000.00""}]",2026-06-08T00:32:45.916926+08:00,1
146,Petty Cash,2026-06-07,Supplies,,"[{""date"": ""2026-06-07"", ""description"": ""Rice 25kl"", ""amount"": ""1250.00""}, {""date"": ""2026-06-07"", ""description"": ""Luya"", ""amount"": ""100.00""}, {""date"": ""2026-06-07"", ""description"": ""plastic"", ""amount"": ""90.00""}, {""date"": ""2026-06-07"", ""description"": ""Ice cube"", ""amount"": ""50.00""}]",2026-06-08T00:32:26.463657+08:00,1
144,Savings,2026-06-07,Transport,,"[{""date"": ""2026-06-07"", ""description"": ""Honda click gasoline"", ""amount"": ""100.00""}]",2026-06-07T23:52:02.030904+08:00,2
143,Petty Cash,2026-06-07,Supplies,,"[{""date"": ""2026-06-07"", ""description"": ""ICE CUBE"", ""amount"": ""50.00""}]",2026-06-07T23:05:56.940658+08:00,1
142,Savings,2026-06-07,Transport,,"[{""date"": ""2026-06-07"", ""description"": ""Gas for Stargazer"", ""amount"": ""500.00""}]",2026-06-07T17:05:47.427094+08:00,2
141,Today Sales,2026-06-05,Salary,,"[{""date"": ""2026-06-05"", ""description"": ""Paul Cash Advance"", ""amount"": ""500.00""}]",2026-06-05T23:33:36.234082+08:00,4
140,Today Sales,2026-06-05,Supplies,,"[{""date"": ""2026-06-05"", ""description"": ""Ice"", ""amount"": ""50.00""}, {""date"": ""2026-06-05"", ""description"": ""c/o Momi"", ""amount"": ""25.00""}]",2026-06-05T22:50:57.003737+08:00,4
