id,name,purchase_unit,batch_qty,batch_price,serving_unit,yield_min,yield_max,category,stock_qty,notes,updated_at
13,BBQ,1,1.000,0.00,pc,1.000,1.000,Pork,13.000,,2026-06-04T00:40:03.337147+08:00
23,Bottled Water,pc,1.000,0.00,pc,1.000,1.000,Beverage,1.000,,2026-05-30T00:04:13.862668+08:00
14,Coke 1.5,pc,1.000,0.00,pc,1.000,1.000,Beverage,8.750,,2026-06-02T00:38:18.988526+08:00
15,Coke Mismo,pc,1.000,0.00,pc,1.000,1.000,Beverage,0.000,,2026-05-31T16:18:02.126651+08:00
9,Leg,pc,1.000,0.00,pc,1.000,1.000,Chicken,66.000,Sadia,2026-06-02T00:40:59.475458+08:00
12,Liempo,pc,1.000,0.00,pc,1.000,1.000,Pork,21.000,,2026-06-04T00:42:17.752756+08:00
11,Pakpak,pc,1.000,0.00,pc,1.000,1.000,Chicken,133.000,Perdigao,2026-05-29T00:04:01.375376+08:00
10,Pecho,pc,1.000,0.00,pc,1.000,1.000,Chicken,26.000,Sadia,2026-06-04T00:37:31.077917+08:00
25,Raw Rice,kg,1.000,0.00,kg,1.000,1.000,,0.000,,2026-05-13T11:24:37.016950+08:00
24,Rice,kg,1.000,55.00,cup,5.000,6.000,,0.000,,2026-05-29T00:04:30.488099+08:00
17,Royal 1.5,pc,1.000,0.00,pc,1.000,1.000,Beverage,0.000,,2026-05-23T23:37:24.306380+08:00
18,Royal Mismo,pc,1.000,0.00,pc,1.000,1.000,Beverage,16.000,,2026-06-02T00:39:25.375926+08:00
20,Sprite 1.5,pc,1.000,0.00,pc,1.000,1.000,Beverage,1.000,,2026-05-30T00:04:34.304124+08:00
21,Sprite Mismo,pc,1.000,0.00,pc,1.000,1.000,Beverage,13.000,,2026-06-04T00:32:46.998829+08:00
