id,transaction,android_id,slip_number,order_type,payment_method,items_json,total,status,source,table_number,customer_name,is_unpaid,order_mode,created_at,updated_at
5,"{""id"": 5, ""order_detail"": {""id"": 5, ""slip_number"": ""9405863"", ""order_type"": ""DINE_IN"", ""payment_method"": ""CASH"", ""table_number"": """", ""items_json"": [{""productId"": 10, ""name"": ""Leg - Unli"", ""price"": 159, ""quantity"": 2, ""discount"": 0}, {""productId"": 7, ""name"": ""Pechopak - Unli"", ""price"": 179, ""quantity"": 1, ""discount"": 0}, {""productId"": 7, ""name"": ""Pechopak - Meal"", ""price"": 169, ""quantity"": 2, ""discount"": 0}, {""productId"": 9, ""name"": ""BBQ - Meal"", ""price"": 139, ""quantity"": 2, ""discount"": 0}, {""productId"": 6, ""name"": ""Delivery Fee - DF1"", ""price"": 30, ""quantity"": 1, ""discount"": 0}], ""order_mode"": ""REGULAR""}, ""android_id"": null, ""total"": ""1143.00"", ""completed_at"": ""2026-05-05T22:13:24.439326+08:00"", ""order"": 5}",,9405863,DINE_IN,CASH,"[{""productId"": 10, ""name"": ""Leg - Unli"", ""price"": 159, ""quantity"": 2, ""discount"": 0}, {""productId"": 7, ""name"": ""Pechopak - Unli"", ""price"": 179, ""quantity"": 1, ""discount"": 0}, {""productId"": 7, ""name"": ""Pechopak - Meal"", ""price"": 169, ""quantity"": 2, ""discount"": 0}, {""productId"": 9, ""name"": ""BBQ - Meal"", ""price"": 139, ""quantity"": 2, ""discount"": 0}, {""productId"": 6, ""name"": ""Delivery Fee - DF1"", ""price"": 30, ""quantity"": 1, ""discount"": 0}]",1143.00,COMPLETED,walk-in,,,False,REGULAR,2026-06-04T03:46:32.368607+08:00,2026-06-04T03:46:32.368607+08:00
6,,,9405864,DINE_IN,CASH,"[{""productId"": 7, ""name"": ""Pechopak - Unli"", ""price"": 179, ""quantity"": 1, ""discount"": 0}]",179.00,VOIDED,walk-in,,,False,REGULAR,2026-06-04T03:46:32.365609+08:00,2026-06-04T03:46:32.365609+08:00
7,,,9405864,DINE_IN,CASH,"[{""productId"": 7, ""name"": ""Pechopak - Unli"", ""price"": 179, ""quantity"": 1, ""discount"": 0}]",179.00,VOIDED,walk-in,,,False,REGULAR,2026-06-04T03:46:32.350218+08:00,2026-06-04T03:46:32.350218+08:00
8,"{""id"": 6, ""order_detail"": {""id"": 8, ""slip_number"": ""9405864"", ""order_type"": ""DINE_IN"", ""payment_method"": ""CASH"", ""table_number"": """", ""items_json"": [{""productId"": 7, ""name"": ""Pechopak - Unli"", ""price"": 179, ""quantity"": 1, ""discount"": 0}, {""productId"": 7, ""name"": ""Pechopak - Unli"", ""price"": 179, ""quantity"": 1, ""discount"": 20}], ""order_mode"": ""REGULAR""}, ""android_id"": null, ""total"": ""322.20"", ""completed_at"": ""2026-05-05T22:23:28.462149+08:00"", ""order"": 8}",,9405864,DINE_IN,CASH,"[{""productId"": 7, ""name"": ""Pechopak - Unli"", ""price"": 179, ""quantity"": 1, ""discount"": 0}, {""productId"": 7, ""name"": ""Pechopak - Unli"", ""price"": 179, ""quantity"": 1, ""discount"": 20}]",322.20,COMPLETED,walk-in,,,False,REGULAR,2026-06-04T03:46:32.311913+08:00,2026-06-04T03:46:32.311913+08:00
9,"{""id"": 7, ""order_detail"": {""id"": 9, ""slip_number"": ""9405865"", ""order_type"": ""DINE_IN"", ""payment_method"": ""CASH"", ""table_number"": """", ""items_json"": [{""productId"": 1, ""name"": ""Coke - Mismo"", ""price"": 25, ""quantity"": 1, ""discount"": 0}], ""order_mode"": ""REGULAR""}, ""android_id"": null, ""total"": ""25.00"", ""completed_at"": ""2026-05-05T22:23:47.879890+08:00"", ""order"": 9}",,9405865,DINE_IN,CASH,"[{""productId"": 1, ""name"": ""Coke - Mismo"", ""price"": 25, ""quantity"": 1, ""discount"": 0}]",25.00,COMPLETED,walk-in,,,False,REGULAR,2026-06-04T03:46:32.308403+08:00,2026-06-04T03:46:32.308403+08:00
10,"{""id"": 8, ""order_detail"": {""id"": 10, ""slip_number"": ""9405866"", ""order_type"": ""DINE_IN"", ""payment_method"": ""CASH"", ""table_number"": """", ""items_json"": [{""productId"": 11, ""name"": ""Wings - Unli"", ""price"": 139, ""quantity"": 1, ""discount"": 0}, {""productId"": 9, ""name"": ""BBQ - Unli"", ""price"": 149, ""quantity"": 1, ""discount"": 0}], ""order_mode"": ""REGULAR""}, ""android_id"": null, ""total"": ""288.00"", ""completed_at"": ""2026-05-05T22:24:17.620045+08:00"", ""order"": 10}",,9405866,DINE_IN,CASH,"[{""productId"": 11, ""name"": ""Wings - Unli"", ""price"": 139, ""quantity"": 1, ""discount"": 0}, {""productId"": 9, ""name"": ""BBQ - Unli"", ""price"": 149, ""quantity"": 1, ""discount"": 0}]",288.00,COMPLETED,walk-in,,,False,REGULAR,2026-06-04T03:46:32.281880+08:00,2026-06-04T03:46:32.281880+08:00
11,"{""id"": 9, ""order_detail"": {""id"": 11, ""slip_number"": ""9405867"", ""order_type"": ""DINE_IN"", ""payment_method"": ""CASH"", ""table_number"": """", ""items_json"": [{""productId"": 11, ""name"": ""Wings - One Piece Meal"", ""price"": 79, ""quantity"": 1, ""discount"": 0}], ""order_mode"": ""REGULAR""}, ""android_id"": null, ""total"": ""79.00"", ""completed_at"": ""2026-05-05T22:25:17.863459+08:00"", ""order"": 11}",,9405867,DINE_IN,CASH,"[{""productId"": 11, ""name"": ""Wings - One Piece Meal"", ""price"": 79, ""quantity"": 1, ""discount"": 0}]",79.00,COMPLETED,walk-in,,,False,REGULAR,2026-06-04T03:46:32.268678+08:00,2026-06-04T03:46:32.268678+08:00
12,"{""id"": 10, ""order_detail"": {""id"": 12, ""slip_number"": ""9405868"", ""order_type"": ""DINE_IN"", ""payment_method"": ""CASH"", ""table_number"": """", ""items_json"": [{""productId"": 7, ""name"": ""Pechopak - Unli"", ""price"": 179, ""quantity"": 1, ""discount"": 0}, {""productId"": 11, ""name"": ""Wings - Meal"", ""price"": 129, ""quantity"": 1, ""discount"": 0}, {""productId"": 10, ""name"": ""Leg - Meal"", ""price"": 149, ""quantity"": 1, ""discount"": 0}, {""productId"": 10, ""name"": ""Leg - Unli"", ""price"": 159, ""quantity"": 1, ""discount"": 0}, {""productId"": 9, ""name"": ""BBQ - Meal"", ""price"": 139, ""quantity"": 1, ""discount"": 0}, {""productId"": 6, ""name"": ""Delivery Fee - DF1"", ""price"": 30, ""quantity"": 1, ""discount"": 0}], ""order_mode"": ""REGULAR""}, ""android_id"": null, ""total"": ""785.00"", ""completed_at"": ""2026-05-05T22:25:50.912056+08:00"", ""order"": 12}",,9405868,DINE_IN,CASH,"[{""productId"": 7, ""name"": ""Pechopak - Unli"", ""price"": 179, ""quantity"": 1, ""discount"": 0}, {""productId"": 11, ""name"": ""Wings - Meal"", ""price"": 129, ""quantity"": 1, ""discount"": 0}, {""productId"": 10, ""name"": ""Leg - Meal"", ""price"": 149, ""quantity"": 1, ""discount"": 0}, {""productId"": 10, ""name"": ""Leg - Unli"", ""price"": 159, ""quantity"": 1, ""discount"": 0}, {""productId"": 9, ""name"": ""BBQ - Meal"", ""price"": 139, ""quantity"": 1, ""discount"": 0}, {""productId"": 6, ""name"": ""Delivery Fee - DF1"", ""price"": 30, ""quantity"": 1, ""discount"": 0}]",785.00,COMPLETED,walk-in,,,False,REGULAR,2026-06-04T03:46:32.247916+08:00,2026-06-04T03:46:32.247916+08:00
13,"{""id"": 11, ""order_detail"": {""id"": 13, ""slip_number"": ""9405869"", ""order_type"": ""DINE_IN"", ""payment_method"": ""CASH"", ""table_number"": """", ""items_json"": [{""productId"": 8, ""name"": ""Liempo - Unli"", ""price"": 199, ""quantity"": 2, ""discount"": 0}], ""order_mode"": ""REGULAR""}, ""android_id"": null, ""total"": ""398.00"", ""completed_at"": ""2026-05-05T22:26:37.069787+08:00"", ""order"": 13}",,9405869,DINE_IN,CASH,"[{""productId"": 8, ""name"": ""Liempo - Unli"", ""price"": 199, ""quantity"": 2, ""discount"": 0}]",398.00,COMPLETED,walk-in,,,False,REGULAR,2026-06-04T03:46:32.234661+08:00,2026-06-04T03:46:32.234661+08:00
14,"{""id"": 12, ""order_detail"": {""id"": 14, ""slip_number"": ""9405870"", ""order_type"": ""DINE_IN"", ""payment_method"": ""CASH"", ""table_number"": """", ""items_json"": [{""productId"": 7, ""name"": ""Pechopak - Meal"", ""price"": 169, ""quantity"": 1, ""discount"": 0}, {""productId"": 10, ""name"": ""Leg - Meal"", ""price"": 149, ""quantity"": 1, ""discount"": 0}], ""order_mode"": ""REGULAR""}, ""android_id"": null, ""total"": ""318.00"", ""completed_at"": ""2026-05-05T22:28:27.967415+08:00"", ""order"": 14}",,9405870,DINE_IN,CASH,"[{""productId"": 7, ""name"": ""Pechopak - Meal"", ""price"": 169, ""quantity"": 1, ""discount"": 0}, {""productId"": 10, ""name"": ""Leg - Meal"", ""price"": 149, ""quantity"": 1, ""discount"": 0}]",318.00,COMPLETED,walk-in,,,False,REGULAR,2026-06-04T03:46:32.232664+08:00,2026-06-04T03:46:32.232664+08:00
