id,name,purchase_unit,batch_qty,batch_price,serving_unit,yield_min,yield_max,category,stock_qty,notes,updated_at
13,BBQ,1,1.000,0.00,pc,1.000,1.000,Pork,52.000,,2026-06-05T01:30:39.254230+08:00
23,Bottled Water,pc,1.000,0.00,pc,1.000,1.000,Beverage,2.000,,2026-06-05T16:51:20.688994+08:00
14,Coke 1.5,pc,1.000,0.00,pc,1.000,1.000,Beverage,1.500,,2026-06-05T01:11:49.816804+08:00
15,Coke Mismo,pc,1.000,0.00,pc,1.000,1.000,Beverage,0.000,,2026-06-06T17:53:15.017395+08:00
9,Leg,pc,1.000,0.00,pc,1.000,1.000,Chicken,95.000,Sadia,2026-06-07T20:22:45.224899+08:00
12,Liempo,pc,1.000,0.00,pc,1.000,1.000,Pork,72.000,,2026-06-05T01:30:41.962242+08:00
11,Pakpak,pc,1.000,0.00,pc,1.000,1.000,Chicken,104.000,Perdigao,2026-05-29T00:04:01.375376+08:00
10,Pecho,pc,1.000,0.00,pc,1.000,1.000,Chicken,43.000,Sadia,2026-06-07T20:25:40.506148+08:00
25,Raw Rice,kg,1.000,0.00,kg,1.000,1.000,,0.000,,2026-05-13T11:24:37.016950+08:00
24,Rice,kg,1.000,55.00,cup,5.000,6.000,,0.000,,2026-05-29T00:04:30.488099+08:00
17,Royal 1.5,pc,1.000,0.00,pc,1.000,1.000,Beverage,0.000,,2026-05-23T23:37:24.306380+08:00
18,Royal Mismo,pc,1.000,0.00,pc,1.000,1.000,Beverage,4.000,,2026-06-02T00:39:25.375926+08:00
20,Sprite 1.5,pc,1.000,0.00,pc,1.000,1.000,Beverage,5.750,,2026-06-05T01:12:06.867410+08:00
21,Sprite Mismo,pc,1.000,0.00,pc,1.000,1.000,Beverage,8.000,,2026-06-05T01:12:42.735400+08:00
