id,order_detail,android_id,total,payment_method,completed_at,order
2784,"{""id"": 2896, ""slip_number"": null, ""order_type"": ""TAKE_OUT"", ""payment_method"": ""CASH"", ""table_number"": ""4"", ""items_json"": [{""productId"": 17, ""name"": ""La Paz Batchoy - Special"", ""price"": 149, ""quantity"": 1, ""discount"": 0}], ""order_mode"": ""REGULAR""}",,149.00,CASH,2026-08-24T21:44:26.981680+08:00,2896
2783,"{""id"": 2895, ""slip_number"": null, ""order_type"": ""DINE_IN"", ""payment_method"": ""CASH"", ""table_number"": ""1"", ""items_json"": [{""productId"": 10, ""name"": ""Leg - Unli"", ""price"": 159, ""quantity"": 2, ""discount"": 0}], ""order_mode"": ""REGULAR""}",,318.00,CASH,2026-08-24T21:38:33.969349+08:00,2895
2782,"{""id"": 2894, ""slip_number"": null, ""order_type"": ""DINE_IN"", ""payment_method"": ""GCASH"", ""table_number"": """", ""items_json"": [{""productId"": 17, ""name"": ""La Paz Batchoy - Add-ons"", ""price"": 59, ""quantity"": 1, ""discount"": 0}], ""order_mode"": ""REGULAR""}",,59.00,GCASH,2026-08-24T20:54:17.717445+08:00,2894
2781,"{""id"": 2893, ""slip_number"": null, ""order_type"": ""DINE_IN"", ""payment_method"": ""CASH"", ""table_number"": """", ""items_json"": [{""productId"": 17, ""name"": ""La Paz Batchoy - Special"", ""price"": 149, ""quantity"": 1, ""discount"": 0}, {""productId"": 17, ""name"": ""La Paz Batchoy - Add-ons"", ""price"": 59, ""quantity"": 1, ""discount"": 0}], ""order_mode"": ""REGULAR""}",,208.00,CASH,2026-08-24T20:54:15.586790+08:00,2893
2780,"{""id"": 2891, ""slip_number"": null, ""order_type"": ""DINE_IN"", ""payment_method"": ""CASH"", ""table_number"": ""1"", ""items_json"": [{""productId"": 2, ""name"": ""Rice - Extra"", ""price"": 20, ""quantity"": 1, ""discount"": 0}, {""productId"": 3, ""name"": ""Icetea - Icetea Glass"", ""price"": 39, ""quantity"": 1, ""discount"": 0}, {""productId"": 17, ""name"": ""La Paz Batchoy - Special"", ""price"": 149, ""quantity"": 1}], ""order_mode"": ""REGULAR""}",,208.00,CASH,2026-08-24T20:52:22.419500+08:00,2891
2779,"{""id"": 2890, ""slip_number"": null, ""order_type"": ""DINE_IN"", ""payment_method"": ""CASH"", ""table_number"": ""4"", ""items_json"": [{""productId"": 10, ""name"": ""Leg - Unli"", ""price"": 159, ""quantity"": 2, ""discount"": 0}], ""order_mode"": ""REGULAR""}",,318.00,CASH,2026-08-24T20:50:00+08:00,2890
2778,"{""id"": 2892, ""slip_number"": null, ""order_type"": ""DINE_IN"", ""payment_method"": ""GCASH"", ""table_number"": """", ""items_json"": [{""productId"": 3, ""name"": ""Icetea - Icetea Glass"", ""price"": 39, ""quantity"": 1, ""discount"": 0}], ""order_mode"": ""REGULAR""}",,39.00,GCASH,2026-08-24T20:36:46.867396+08:00,2892
2777,"{""id"": 2889, ""slip_number"": null, ""order_type"": ""DINE_IN"", ""payment_method"": ""GCASH"", ""table_number"": ""1"", ""items_json"": [{""productId"": 3, ""name"": ""Icetea - Icetea Glass"", ""price"": 39, ""quantity"": 1, ""discount"": 0}, {""productId"": 8, ""name"": ""Liempo - Unli"", ""price"": 199, ""quantity"": 1, ""discount"": 0}], ""order_mode"": ""REGULAR""}",,238.00,GCASH,2026-08-24T20:25:37.654284+08:00,2889
2776,"{""id"": 2888, ""slip_number"": null, ""order_type"": ""DINE_IN"", ""payment_method"": ""GCASH"", ""table_number"": ""2"", ""items_json"": [{""productId"": 15, ""name"": ""Fruit fiesta"", ""price"": 59, ""quantity"": 2, ""discount"": 0}], ""order_mode"": ""REGULAR""}",,118.00,GCASH,2026-08-24T20:25:32.776391+08:00,2888
2775,"{""id"": 2887, ""slip_number"": null, ""order_type"": ""DINE_IN"", ""payment_method"": ""CASH"", ""table_number"": ""5"", ""items_json"": [{""productId"": 7, ""name"": ""Pechopak - Unli"", ""price"": 179, ""quantity"": 1, ""discount"": 0}, {""productId"": 10, ""name"": ""Leg - Unli"", ""price"": 159, ""quantity"": 1, ""discount"": 0}, {""productId"": 15, ""name"": ""Fruit fiesta"", ""price"": 59, ""quantity"": 1, ""discount"": 0}], ""order_mode"": ""REGULAR""}",,397.00,CASH,2026-08-24T20:25:30.530425+08:00,2887
